Time (EET),Open,High,Low,Close,Volume 
2025.01.02 10:50:00,21163.153,21177.189,21150.32,21169.399,0.187
2025.01.02 11:00:00,21169.151,21185.654,21144.309,21180.354,0.2382
2025.01.02 11:10:00,21180.489,21199.276,21178.854,21193.465,0.1809
2025.01.02 11:20:00,21193.876,21194.22,21173.742,21187.875,0.1641
2025.01.02 11:30:00,21188.265,21192.331,21155.442,21164.821,0.1779
2025.01.02 11:40:00,21164.42,21193.099,21160.797,21189.275,0.1776
2025.01.02 11:50:00,21189.219,21197.389,21174.153,21196.232,0.1402
2025.01.02 12:00:00,21196.009,21204.731,21172.175,21187.31,0.1622
2025.01.02 12:10:00,21187.443,21189.009,21153.753,21179.709,0.1598
2025.01.02 12:20:00,21178.286,21185.676,21169.821,21179.41,0.1303
2025.01.02 12:30:00,21178.764,21197.764,21175.297,21193.776,0.1336
2025.01.02 12:40:00,21193.354,21195.665,21185.287,21191.175,0.1082
2025.01.02 12:50:00,21190.954,21193.489,21160.186,21191.508,0.161
2025.01.02 13:00:00,21191.843,21192.899,21164.698,21181.242,0.1642
2025.01.02 13:10:00,21181.353,21201.664,21180.731,21197.253,0.1353
2025.01.02 13:20:00,21196.92,21200.197,21189.742,21195.308,0.1133
2025.01.02 13:30:00,21194.965,21199.189,21179.943,21197.519,0.1273
2025.01.02 13:40:00,21197.495,21240.786,21196.765,21235.476,0.1582
2025.01.02 13:50:00,21235.82,21263.509,21224.365,21261.008,0.163
2025.01.02 14:00:00,21261.198,21274.389,21249.797,21269.72,0.2105
2025.01.02 14:10:00,21270.909,21283.943,21262.276,21271.621,0.19
2025.01.02 14:20:00,21272.631,21280.199,21265.843,21277.253,0.1448
2025.01.02 14:30:00,21277.332,21280.498,21259.386,21269.187,0.1445
2025.01.02 14:40:00,21236.308,21244.476,21231.243,21236.154,0.0524
2025.01.02 14:50:00,21235.91,21240.965,21207.786,21237.62,0.2018
2025.01.02 15:00:00,21237.431,21245.431,21225.332,21233.186,0.1908
2025.01.02 15:10:00,21233.397,21235.199,21216.276,21216.999,0.1649
